"","kml_s_e","kml_e","kml_s","Lng","Lat","Lng_e","Lat_e","count"
"355","927_927",927,927,104.7735466,31.4981568,104.7735466,31.4981568,53
"356","931_291",291,931,104.7409024,31.4988364,104.7321556,31.4547659,12
"357","931_926",926,931,104.7409024,31.4988364,104.737321,31.4976079,13
"358","938_291",291,938,104.7328988,31.50017,104.7321556,31.4547659,18
"359","938_523",523,938,104.7328988,31.50017,104.7723748,31.4656126,11
"360","938_791",791,938,104.7328988,31.50017,104.7300507,31.486623,11
"361","938_915",915,938,104.7328988,31.50017,104.7343212,31.4966375,25
"362","938_938",938,938,104.7328988,31.50017,104.7328988,31.50017,13
"363","955_127",127,955,104.7306957,31.5035874,104.7413669,31.4384258,11
"364","955_135",135,955,104.7306957,31.5035874,104.7654496,31.4413548,18
"365","955_291",291,955,104.7306957,31.5035874,104.7321556,31.4547659,35
"366","955_317",317,955,104.7306957,31.5035874,104.7292506,31.456155,13
"367","955_440",440,955,104.7306957,31.5035874,104.7220286,31.4615387,15
"368","955_523",523,955,104.7306957,31.5035874,104.7723748,31.4656126,17
"369","955_56",56,955,104.7306957,31.5035874,104.7634654,31.4220348,13
"370","955_67",67,955,104.7306957,31.5035874,104.7722805,31.4250537,23
"371","955_719",719,955,104.7306957,31.5035874,104.7383672,31.4803948,16
